Palavra,Polaridade
boçal,-1
bocejar,-1
bochechudo,-1
bocó,-1
boêmio,-1
boémio,-1
bojudo,-1
bolachudo,-1
bolorento,-1
bom aluno,1
bom cheiro,1
bom comportamento,1
bom desempenho,1
bom humor,1
bom-samaritano,1
bom,1
bombardear,1
bombeado,-1
bondade,1
bondoso,1
boniteza,1
bonito,1
borbulhento,-1
borguista,-1
borrachudo,-1
borrado,-1
boto,-1
botocudo,-1
braceiro,1
bravateador,-1
bravura,1
brega,-1
brejeirice,-1
brejeiro,-1
brejeirote,-1
briga,-1
brigador,-1
brigante,-1
brigão,-1
briguento,-1
brilhante,1
brilhar,1
brilharete,-1
brilho,1
brincar,-1
brio,1
briosidade,1
brioso,1
bronco,-1
bronquice,-1
bruno,-1
brusco,-1
brutal,-1
brutalidade,-1
brutidão,-1
bruto,-1
bruxaria,-1
bucha,-1
bufismo,-1
bufo,-1
bulhão,-1
bulhento,-1
bulício,-1
buliçoso,-1
burguês,-1
burla,-1
burlado,-1
burlador,-1
burlão,-1
burlesco,-1
burlista,-1
burrice,-1
burro,-1
cabazada,-1
cabeça dura,-1
cabeçudo,-1
cabisbaixo,-1
caboclo,-1
cabotino,-1
cabrão,-1
cábula,-1
caçado,-1
cacete,-1
caceteiro,-1
cachaceiro,-1
cadastrado,-1
cadavérico,-1
cadaveroso,-1
cadente,-1
caduco,-1
cafona,-1
cagão,-1
cagar-se,-1
cagarola,-1
cagativo,-1
caguinchas,-1
caído,-1
caipira,-1
cair na armadilha,-1
cair na boca do lobo,-1
cair na ratoeira,-1
cair por terra,-1
cair,-1
calaceiro,-1
calão,-1
calar a boca,-1
calar o bico,-1
calar-se,-1
calar,1
calcado,-1
calculismo,-1
calculista,-1
calhandreiro,-1
calhandrice,-1
calhorda,-1
calino,-1
calipígio,1
calma,1
calmante,1
calmo,1
caloroso,1
caloteirismo,-1
caloteiro,-1
calotismo,-1
calúnia,-1
caluniado,-1
caluniador,-1
caluniar,-1
cambada,-1
cambaleante,-1
cambalear,-1
camelo,-1
campónio,-1
canalha,-1
canalhice,-1
canceroso,-1
cancro,-1
candongueiro,-1
candonguice,-1
cangalheiro,-1
canhestro,-1
canibal,-1
canino,-1
cansado,-1
cansativo,-1
cantar bem mas não me alegra,-1
cantar de galo,-1
cantar vitória antes do tempo,-1
caótico,-1
capacitado,1
capaz,1
capcioso,-1
capenga,-1
capitoso,-1
capricho,-1
caprichoso,-1
captar eleitorado,1
caquéctico,-1
caquético,-1
caquexia,-1
cara de cu,-1
cara de pau,-1
caralho,-1
carapaça,-1
carbonizado,-1
carcomido,-1
carecer,-1
carecido,-1
careiro,-1
carência,-1
carenciado,-1
carente,-1
caricato,-1
caricioso,1
caridoso,1
carinho,1
carinhoso,1
carisma,1
carismático,1
caritativo,1
